iter	RMSE
0	7.858676742
1	7.303371417
2	6.814410189
3	6.382945936
4	6.012987102
5	5.658126375
6	5.349632937
7	5.083853726
8	4.809318149
9	4.585304729
10	4.379355503
11	4.241236312
12	4.099560789
13	3.970948083
14	3.879792117
15	3.790595546
16	3.708101848
17	3.647444067
18	3.55956237
19	3.478516231
20	3.41847983
21	3.324320345
22	3.281488488
23	3.256490202
24	3.192466351
25	3.117259711
26	3.042868188
27	3.01114509
28	2.961428031
29	2.923947869
30	2.884994084
31	2.847757169
32	2.797062363
33	2.772932234
34	2.685086863
35	2.665206455
36	2.646966349
37	2.595491459
38	2.555104004
39	2.518843823
40	2.50720839
41	2.47107703
42	2.44903398
43	2.424169479
44	2.389614114
45	2.343164046
46	2.313040406
47	2.270960766
48	2.231402871
49	2.208219662
50	2.169773917
51	2.151852842
52	2.137504459
53	2.102877624
54	2.09244478
55	2.074239417
56	2.059893695
57	2.045019833
58	2.027372947
59	2.02104767
60	2.003204705
61	1.984564927
62	1.975388696
63	1.971683533
64	1.961774892
65	1.942969999
66	1.930293794
67	1.918396937
68	1.904420821
69	1.88576045
70	1.856005131
71	1.842081872
72	1.830932124
73	1.822928595
74	1.802881722
75	1.775269289
76	1.76664759
77	1.759404116
78	1.755395644
79	1.736890474
80	1.725900817
81	1.72180983
82	1.718503911
83	1.698488476
84	1.668957414
85	1.666482002
86	1.658424699
87	1.650112306
88	1.64024293
89	1.61678071
90	1.610925199
91	1.582945362
92	1.57223506
93	1.560987592
94	1.550330765
95	1.537793272
96	1.534149449
97	1.525575546
98	1.51971406
99	1.500101777
