iter	Passed	Remaining
0	64	6397
1	70	3443
2	75	2449
3	80	1930
4	86	1638
5	91	1432
6	96	1281
7	101	1170
8	106	1072
9	110	997
10	116	945
11	121	893
12	126	849
13	131	810
14	136	773
15	141	742
16	145	710
17	150	685
18	154	658
19	159	636
20	163	615
21	168	596
22	172	576
23	176	559
24	181	543
25	185	529
26	190	514
27	194	501
28	199	488
29	203	475
30	208	463
31	212	452
32	217	441
33	221	429
34	225	419
35	229	408
36	234	399
37	238	389
38	242	379
39	246	370
40	251	361
41	255	352
42	259	344
43	263	335
44	268	327
45	271	319
46	275	311
47	280	303
48	284	295
49	289	289
50	293	281
51	297	274
52	301	267
53	305	260
54	309	253
55	313	246
56	318	239
57	322	233
58	326	227
59	330	220
60	334	213
61	338	207
62	342	201
63	347	195
64	351	189
65	355	182
66	358	176
67	363	171
68	367	165
69	371	159
70	375	153
71	380	147
72	384	142
73	388	136
74	392	130
75	396	125
76	400	119
77	405	114
78	409	108
79	414	103
80	418	98
81	422	92
82	426	87
83	430	82
84	435	76
85	439	71
86	443	66
87	447	61
88	451	55
89	456	50
90	459	45
91	464	40
92	468	35
93	472	30
94	476	25
95	481	20
96	485	15
97	490	10
98	494	4
99	498	0
